typ,typ_label,name,address,lat,lng,wertstoffinsel_glas,wertstoffinsel_kleider,wertstoffinsel_papier,google_maps_url
3.0,Grüngutannahmestelle,Grüngutannahmestelle Berenbostel,"Auf dem Kampe 50, 30827 Garbsen",52.435561273238,9.6292054653168,,,,"https://www.google.com/maps?q=52.435561273238,9.6292054653168"
3.0,Grüngutannahmestelle,"Grüngutannahmestelle Schloß Ricklingen, Garbsen","Nähe Burgstraße 125, 30826 Garbsen",52.423335,9.547402,,,,"https://www.google.com/maps?q=52.423335,9.547402"
3.0,Grüngutannahmestelle,Grüngutannahmestelle Gehrden,"Levester Straße 38, 30989 Gehrden",52.320528058383,9.5848846435547,,,,"https://www.google.com/maps?q=52.320528058383,9.5848846435547"
3.0,Grüngutannahmestelle,Grüngutannahmestelle Ohlendorf,"Bruchweg 20, 30966 Hemmingen",52.285071084691,9.7186517715454,,,,"https://www.google.com/maps?q=52.285071084691,9.7186517715454"
3.0,Grüngutannahmestelle,Grüngutannahmestelle Kirchhorst,"Krümpelweg 10, 30916 Isernhagen",52.449183800016,9.9146085977554,,,,"https://www.google.com/maps?q=52.449183800016,9.9146085977554"
3.0,Grüngutannahmestelle,Grüngutannahmestelle Niedernhägener Bauerschaft,"Am Ortfelde 72, 30916 Isernhagen",52.456016366324,9.8012638092041,,,,"https://www.google.com/maps?q=52.456016366324,9.8012638092041"
3.0,Grüngutannahmestelle,Grüngutannahmestelle Farster Bauerschaft,"Hauptstraße 25a, 30916 Isernhagen",52.469021465676,9.8363953828812,,,,"https://www.google.com/maps?q=52.469021465676,9.8363953828812"
3.0,Grüngutannahmestelle,Grüngutannahmestelle Ingeln,"Stiftungsstraße 1, 30880 Laatzen",52.275898084274,9.8971313238144,,,,"https://www.google.com/maps?q=52.275898084274,9.8971313238144"
3.0,Grüngutannahmestelle,Grüngutannahmestelle Kaltenweide,"Kananoher Straße (Ecke Auf der Heide - Einfahrt in der Feldmark) , 30855 Langenhagen",52.475704354521,9.7176218032837,,,,"https://www.google.com/maps?q=52.475704354521,9.7176218032837"
3.0,Grüngutannahmestelle,Grüngutannahmestelle Krähenwinkel,"Walsroder Straße 209, 30855 Langenhagen",52.458405879733,9.7429740428925,,,,"https://www.google.com/maps?q=52.458405879733,9.7429740428925"
3.0,Grüngutannahmestelle,Grüngutannahmestelle Schulenburg,"Dorfstraße 28, 30855 Langenhagen",52.444007997618,9.674813747406,,,,"https://www.google.com/maps?q=52.444007997618,9.674813747406"
3.0,Grüngutannahmestelle,Grüngutannahmestelle Arpke,"Zum Grafhorn , 31275 Lehrte",52.389096619773,10.100555419922,,,,"https://www.google.com/maps?q=52.389096619773,10.100555419922"
3.0,Grüngutannahmestelle,Grüngutannahmestelle Lehrte,"Sehnder Landstraße , 31275 Lehrte",52.348935234304,9.9803458193329,,,,"https://www.google.com/maps?q=52.348935234304,9.9803458193329"
